txn_id,customer_id,amount,payment_mode,status
1,101,2944,UPI,SUCCESS
2,560,3924,WALLET,SUCCESS
3,101,4782,WALLET,SUCCESS
4,101,4863,CARD,FAILED
5,101,1694,CARD,SUCCESS
6,101,2859,UPI,FAILED
7,101,2372,NETBANKING,FAILED
8,101,479,UPI,FAILED
9,101,3554,WALLET,SUCCESS
10,101,891,UPI,FAILED
11,101,3417,CARD,SUCCESS
12,3998,194,NETBANKING,FAILED
13,101,2421,UPI,SUCCESS
14,7837,2516,UPI,FAILED
15,101,804,NETBANKING,FAILED
16,101,2364,WALLET,SUCCESS
17,101,4877,UPI,SUCCESS
18,101,4409,NETBANKING,FAILED
19,101,1538,NETBANKING,FAILED
20,3699,2352,NETBANKING,SUCCESS
21,101,3847,NETBANKING,FAILED
22,101,2811,WALLET,FAILED
23,101,505,CARD,FAILED
24,101,1346,NETBANKING,FAILED
25,101,1564,NETBANKING,SUCCESS
26,225,2149,WALLET,SUCCESS
27,101,2920,NETBANKING,SUCCESS
28,101,4250,WALLET,SUCCESS
29,101,4413,NETBANKING,SUCCESS
30,101,584,WALLET,SUCCESS
31,101,624,NETBANKING,FAILED
32,101,2535,WALLET,FAILED
33,101,3647,CARD,SUCCESS
34,101,1180,NETBANKING,SUCCESS
35,101,3086,NETBANKING,SUCCESS
36,8453,4364,WALLET,SUCCESS
37,101,2760,NETBANKING,SUCCESS
38,101,4617,NETBANKING,SUCCESS
39,101,2140,WALLET,FAILED
40,101,3448,CARD,SUCCESS
41,101,1026,CARD,FAILED
42,4196,998,UPI,SUCCESS
43,101,1934,CARD,SUCCESS
44,101,3326,CARD,SUCCESS
45,101,4819,CARD,SUCCESS
46,101,3314,UPI,FAILED
47,101,3711,NETBANKING,FAILED
48,101,2762,UPI,SUCCESS
49,101,1654,NETBANKING,FAILED
50,6311,2808,UPI,FAILED
51,7167,4504,NETBANKING,FAILED
52,101,681,CARD,SUCCESS
53,101,3965,NETBANKING,SUCCESS
54,3512,4897,WALLET,FAILED
55,8183,1859,UPI,SUCCESS
56,6337,1888,NETBANKING,SUCCESS
57,101,4945,CARD,FAILED
58,101,3151,WALLET,FAILED
59,101,3766,CARD,SUCCESS
60,101,1724,WALLET,SUCCESS
61,101,4402,NETBANKING,SUCCESS
62,101,2333,NETBANKING,FAILED
63,101,1687,CARD,FAILED
64,7147,4474,CARD,SUCCESS
65,101,2141,CARD,FAILED
66,101,4273,NETBANKING,SUCCESS
67,101,4394,CARD,SUCCESS
68,101,250,WALLET,FAILED
69,101,4782,UPI,FAILED
70,101,545,NETBANKING,SUCCESS
71,6646,1308,UPI,SUCCESS
72,101,1152,WALLET,FAILED
73,101,4464,CARD,SUCCESS
74,101,2555,UPI,SUCCESS
75,101,452,UPI,FAILED
76,101,1913,UPI,FAILED
77,101,3835,UPI,FAILED
78,101,2581,WALLET,SUCCESS
79,101,4277,UPI,FAILED
80,101,1560,UPI,SUCCESS
81,8473,3906,NETBANKING,FAILED
82,101,508,NETBANKING,FAILED
83,101,3519,NETBANKING,FAILED
84,5375,2591,UPI,SUCCESS
85,101,1548,CARD,FAILED
86,101,366,WALLET,SUCCESS
87,8842,4365,CARD,SUCCESS
88,101,3895,CARD,SUCCESS
89,101,4596,CARD,FAILED
90,9200,3492,NETBANKING,FAILED
91,101,1024,CARD,SUCCESS
92,2451,2230,WALLET,SUCCESS
93,101,2821,NETBANKING,SUCCESS
94,9126,2776,CARD,SUCCESS
95,101,3725,UPI,FAILED
96,101,3627,CARD,FAILED
97,101,993,CARD,FAILED
98,101,4529,WALLET,SUCCESS
99,101,3261,CARD,SUCCESS
100,101,187,UPI,SUCCESS
101,6366,399,CARD,SUCCESS
102,101,2579,NETBANKING,FAILED
103,6151,2562,WALLET,SUCCESS
104,3924,1677,UPI,FAILED
105,101,760,WALLET,FAILED
106,101,4126,CARD,SUCCESS
107,101,2637,CARD,FAILED
108,101,4351,CARD,SUCCESS
109,101,1884,WALLET,SUCCESS
110,101,4022,CARD,FAILED
111,101,1754,UPI,SUCCESS
112,1041,4150,UPI,SUCCESS
113,101,4308,NETBANKING,SUCCESS
114,7503,4608,CARD,SUCCESS
115,5662,142,CARD,SUCCESS
116,101,2008,UPI,SUCCESS
117,101,3379,UPI,SUCCESS
118,101,2806,UPI,SUCCESS
119,101,1470,UPI,SUCCESS
120,101,398,UPI,SUCCESS
121,101,3094,UPI,SUCCESS
122,8896,3156,WALLET,SUCCESS
123,101,3795,WALLET,FAILED
124,3324,437,WALLET,SUCCESS
125,101,406,UPI,SUCCESS
126,101,2030,CARD,FAILED
127,101,3798,UPI,FAILED
128,8629,586,UPI,SUCCESS
129,101,1006,NETBANKING,SUCCESS
130,101,1437,CARD,SUCCESS
131,101,3758,UPI,FAILED
132,101,482,CARD,FAILED
133,101,2350,NETBANKING,SUCCESS
134,101,4754,UPI,FAILED
135,101,1176,CARD,SUCCESS
136,5954,1761,WALLET,SUCCESS
137,101,959,CARD,SUCCESS
138,3638,4515,UPI,SUCCESS
139,101,3394,WALLET,FAILED
140,101,3737,UPI,SUCCESS
141,101,3856,UPI,SUCCESS
